Printer manufacturer;Number of printers (Sum);Company (Count All)
(blank);1682;328
Stratasys;198;64
EOS;111;44
3D Systems;95;37
Creality;81;7
HP;78;46
Raise3D;29;5
Nikon SLM;28;13
Axtra3d;26;2
Formlabs;25;20
Colibrium Additive;23;10
Carbon;18;9
Markforged;10;10
Bambu Lab;9;3
Trumpf;8;6
SLM;8;3
Raise 3D;7;2
Velo3D;7;5
In-house;7;2
Proprietary;5;5
Nexa3D;5;5
Intamsys;5;5
Desktop Metal;4;4
Voxeljet;4;2
Ultimaker;4;4
Addup;4;1
Sintratec;3;2
GE Additive;3;1
Carbon 3D;3;3
Anycubic;3;3
Zortrax;3;3
EnvisionTEC;3;3
Uniontech;3;1
Titan;2;1
Phrozen;2;2
3ntr;2;2
Roboze;2;2
Admatec;2;1
Sinterit;2;2
ExOne;2;2
Arcam;2;1
Gefertec;2;2
Elegoo;2;2
BigRep;2;2
AMCM;2;1
3DP;2;2
Fabrisonic;1;1
SPEE3D;1;1
MELD;1;1
Massivit;1;1
XYZPrinting;1;1
Juggerbot;1;1
Additive Industries;1;1
BCN3D;1;1
Creatbot;1;1
Anet;1;1
Fusion3;1;1
Aon3D;1;1
Origin;1;1
Cincinnati;1;1
CEAD;1;1
Concept Laser;1;1
Viper;1;1
Objet;1;1
Rize;1;1
Union Tech;1;1
Asiga;1;1
Essentium;1;1
Optomec;1;1
Renishaw;1;1
Concurrent Technologies;1;1
JEOL;1;1
Siemens;1;1
Wayland Additive;1;1
Photocentric;1;1
Farsoon;1;1
HPS;1;1
Felix;1;1
Ender;1;1
MakerGear;1;1
EOS ;1;1
Lulzbot;1;1
Peopoly;1;1
Flashforge;1;1
Xact Metal;1;1
Modix;1;1
Grand Total;2568;720