;Company;Printer manufacturer;Printer model;Process;Material;Number of printers;Count type;Country;State / province;Website
;Black Buffalo;;;MEX;Cement-based;1;Minimum;United States;NJ;https://blackbuffalo.io
;Bluedge;;;MEX;Polymer;1;Minimum;United States;MA;https://bluedge.com
;Branch Technology;;;MEX;Polymer;1;Minimum;United States;TN;https://branchtechnology.com
;Build Parts (by CIDEAS Inc.);;;VPP;Polymer;4;Minimum;United States;IL;https://buildparts.com
;Build Parts (by CIDEAS Inc.);;;PBF-LB;Polymer;2;Minimum;United States;IL;https://buildparts.com
;Build Parts (by CIDEAS Inc.);;;MJT;Polymer;3;Minimum;United States;IL;https://buildparts.com
;Build Parts (by CIDEAS Inc.);;;MEX;Polymer;13;Minimum;United States;IL;https://buildparts.com
;Burloak;Colibrium Additive;Arcam A2X;PBF-EB;Metal;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;Colibrium Additive;Arcam Q20+;PBF-EB;Metal;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;EOS;M100;PBF-LB;Metal;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;EOS;M290;PBF-LB;Metal;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;EOS;M400-4;PBF-LB;Metal;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;EOS;P396;PBF-LB;Polymer;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;Essentium;HSE-180-HT;MEX;Polymer;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;Nikon SLM;SLM 280;PBF-LB;Metal;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;Optomec;;pDED-LB;Metal;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;Renishaw;AM500Q;PBF-LB;Metal;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;TRUMPF;Truprint 1000;PBF-LB;Metal;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;TRUMPF;Truprint 2000;PBF-LB;Metal;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burton Precision;Intamsys;310;MEX;Polymer;1;Minimum;United States;MI;https://burtonprecision.com
;Burton Precision;Intamsys;410;MEX;Polymer;1;Minimum;United States;MI;https://burtonprecision.com
;Burton Precision;Intamsys;610;MEX;Polymer;1;Minimum;United States;MI;https://burtonprecision.com
;Burton Precision;Sinterit;SUZY;PBF-LB;Polymer;1;Minimum;United States;MI;https://burtonprecision.com
;Burton Precision;Sinterit;Lisa X;PBF-LB;Polymer;1;Minimum;United States;MI;https://burtonprecision.com
;Catalysis Additive Tooling;HP;;PBF-IR;Polymer;1;Minimum;United states;OH;https://catalysis3d.com
;Catalysis Additive Tooling;Formlabs;;VPP;Polymer;1;Minimum;United states;OH;https://catalysis3d.com
;Catalysis Additive Tooling;Formlabs;;PBF-LB;Polymer;1;Minimum;United states;OH;https://catalysis3d.com
;Catalysis Additive Tooling;ExOne;;BJT;Polymer;1;Minimum;United states;OH;https://catalysis3d.com
;Catalysis Additive Tooling;;;PBF-LB;Metal;1;Minimum;United states;OH;https://catalysis3d.com
;Caterpillar Inc.;;;PBF-LB;Polymer;1;Minimum;United States;TX;https://www.cat.com/global-selector.html
;Caterpillar Inc.;;;VPP;Polymer;2;Minimum;United States;TX;https://www.cat.com/global-selector.html
;Caterpillar Inc.;;;PBF-LB;Metal;1;Minimum;United States;TX;https://www.cat.com/global-selector.html
;Caterpillar Inc.;;;MEX;Polymer;2;Minimum;United States;TX;https://www.cat.com/global-selector.html
;Cimquest Inc;;;MEX;Polymer;1;Minimum;United States;NJ;https://cimquest-inc.com
;Cimquest Inc;;;PBF-LB;Polymer;1;Minimum;United States;NJ;https://cimquest-inc.com
;Cimquest Inc;;;MJT;Polymer;1;Minimum;United States;NJ;https://cimquest-inc.com
;Cincinnati Incorporated;;;MEX;Polymer;1;Minimum;United states;OH;https://e-ci.com/home
;CoKreeate;;;MEX;Polymer;1;Minimum;United states;CA;https://cokreeate.com
;CoKreeate;;;VPP;Polymer;1;Minimum;United states;CA;https://cokreeate.com
;CoKreeate;;;BJT;Polymer;1;Minimum;United states;CA;https://cokreeate.com
;Compound Dynamics;;;MEX;Polymer;5;Minimum;United States;WI;https://www.compounddynamics.com/
;Concept Advanced Manufacturing Solutions;;;MEX;Polymer;1;Minimum;United States;MN;https://conceptmachine.com
;Concept Advanced Manufacturing Solutions;;;VPP;Polymer;1;Minimum;United States;MN;https://conceptmachine.com
;Concept Advanced Manufacturing Solutions;;;PBF-LB;Metal;1;Minimum;United States;MN;https://conceptmachine.com
;Concept Advanced Manufacturing Solutions;;;PBF-LB;Polymer;1;Minimum;United States;MN;https://conceptmachine.com
;Cosine Additive Inc;;;MEX;Polymer;1;Minimum;United states;TX;https://cosineadditive.com
;CT3D;;;MEX;Polymer;1;Minimum;United States;CT;https://www.ct3d.tech/
;CT3D;;;VPP;Polymer;1;Minimum;United States;CT;https://www.ct3d.tech/
;CTC – Concurrent Technologies Corporation;SLM;280HL;PBF-LB;Metal;1;Minimum;United States;PA;https://ctc.com
;CTC – Concurrent Technologies Corporation;Nikon SLM;SLM 280;pDED-LB;Metal;1;Minimum;United States;PA;https://ctc.com
;CTC – Concurrent Technologies Corporation;Concurrent Technologies;Gen III;Cold Spray;Metal;1;Minimum;United States;PA;https://ctc.com
;Cumberland Additive;SLM;280HL;PBF-LB;Metal;6;Actual;United States;TX;https://cai-3d.com
;Cumberland Additive;SLM;500HL;PBF-LB;Metal;1;Actual;United States;TX;https://cai-3d.com
;Cumberland Additive;Arcam;EBM Q20+;PBF-EB;Metal;2;Actual;United States;TX;https://cai-3d.com
;Cumberland Additive;JEOL;;PBF-EB;Metal;1;Actual;United States;TX;https://cai-3d.com
;Cumberland Additive;EOS;M280;PBF-LB;Metal;12;Actual;United States;TX;https://cai-3d.com
;Cumberland Additive;EOS;M290;PBF-LB;Metal;2;Actual;United States;TX;https://cai-3d.com
;Cumberland Additive;EOS;M400-4;PBF-LB;Metal;2;Actual;United States;TX;https://cai-3d.com
;Cumberland Additive;EOS;M400-1;PBF-LB;Metal;1;Actual;United States;TX;https://cai-3d.com
;Cumberland Additive;EOS;Integra;PBF-LB;Polymer;4;Actual;United States;TX;https://cai-3d.com
;Custom Prototypes;;;MJT;;1;Minimum;Canada;ON;https://customprototypes.ca
;Custom Prototypes;;;PBF-LB;Metal;2;Minimum;Canada;ON;https://customprototypes.ca
;Custom Prototypes;;;VPP;;4;Minimum;Canada;ON;https://customprototypes.ca
;DELRAY Systems;;;MEX;Polymer;20;Minimum;United States;MI;https://3d-printer.com
;DELRAY Systems;;;VPP;Polymer;3;Minimum;United States;MI;https://3d-printer.com
;DELRAY Systems;;;PBF-LB;Polymer;1;Minimum;United States;MI;https://3d-printer.com
;Dependable Pattern Works;Stratasys;200mc;MEX;Polymer;2;Actual;United States;OR;http://www.dpwcorp.com
;Dependable Pattern Works;Stratasys;450mc;MEX;Polymer;1;Actual;United States;OR;http://www.dpwcorp.com
;Dependable Pattern Works;Stratasys;400mc;MEX;Polymer;2;Actual;United States;OR;http://www.dpwcorp.com
;Dependable Pattern Works;Stratasys;450mc;MEX;Polymer;1;Actual;United States;OR;http://www.dpwcorp.com
;Detroit 3D;Markforged;;MEX;Polymer;1;Minimum;United States;MI;https://detroit3dmanufacturing.com
;DI Labs;;;VPP;;1;Minimum;United States;MN;https://dilabs.cc
;DI Labs;;;BJT;;13;Minimum;United States;MN;https://dilabs.cc
;DI Labs;;;MEX;;3;Minimum;United States;MN;https://dilabs.cc
;Duncan Machine Products – DMP;Velo3D;Sapphire;PBF-LB;Metal;1;Minimum;United States;OK;https://duncanmachineproducts.com
;eCadCam;;;MEX;Polymer;1;Minimum;United states;CA;https://ecadcam.com/3d-printing
;eCadCam;HP;;PBF-IR;Polymer;1;Minimum;United states;CA;https://ecadcam.com/3d-printing
;eCadCam;;;VPP;Polymer;1;Minimum;United states;CA;https://ecadcam.com/3d-printing
;eCadCam;;;PBF-LB;Polymer;1;Minimum;United states;CA;https://ecadcam.com/3d-printing
;eCadCam;;;MJT;Polymer;1;Minimum;United states;CA;https://ecadcam.com/3d-printing
;eCadCam;;;PBF-LB;Metal;1;Minimum;United states;CA;https://ecadcam.com/3d-printing
;Electroimpact;Siemens;840D CNC;MEX;Polymer;1;Minimum;United states;WA;https://electroimpact.com/3d
;Elite Mold & Engineering/Elite Additive Manufacturing;Carbon;M2;VPP;Polymer;1;Minimum;United states;MI;https://teameliteonline.com/additive-manufacturing
;Endeavor3D;HP;;PBF-IR;Polymer;1;Minimum;United states;GA;https://endeavor3d.com
;Endeavor3D;Stratasys;Fortus 450mc;MEX;Polymer;1;Minimum;United states;GA;https://endeavor3d.com
;Endeavor3D;HP;Metal Jet;BJT;Metal;1;Minimum;United states;GA;https://endeavor3d.com
;EPTAM Precision Metals;;;BJT;Metal;1;Actual;United states;CO;https://eptam.com
;EPTAM Precision Metals;Intamsys;Funmat HT;MEX;Polymer;1;Actual;United states;CO;https://eptam.com
;EPTAM Precision Metals;Formlabs;Form 2;VPP;Polymer;1;Actual;United states;CO;https://eptam.com
;EPTAM Precision Metals;Formlabs;Fuse 1;PBF-LB;Polymer;1;Actual;United states;CO;https://eptam.com
;EPTAM Precision Metals;Raise3D;Pro2;MEX;Polymer;25;Actual;United states;CO;https://eptam.com
;EPTAM Precision Metals;Raise3D;Pro2 Plus;MEX;Polymer;1;Actual;United states;CO;https://eptam.com
;EPTAM Precision Metals;Raise3D;E2;MEX;Polymer;1;Actual;United states;CO;https://eptam.com
;Eveline;;;MEX;Glass;1;Minimum;United States;NY;https://evenline.co
;Evology MFG;;;PBF-LB;Metal;8;Minimum;United States;WI;https://EvologyMfg.com
;Evology MFG;;;PBF-LB;Polymer;2;Minimum;United States;WI;https://EvologyMfg.com
;Evology MFG;;;MEX;Polymer;16;Minimum;United States;WI;https://EvologyMfg.com
;Exco Engineering;EOS;;PBF-LB;Metal;4;Minimum;Canada;ON;https://excoeng.com
;Exergy Solutions;Wayland Additive;Calibur3;PBF-EB;Metal;1;Actual;Canada;QC;https://exergysolutions.com
;Extol Inc.;HP;;PBF-IR;Metal;1;Minimum;United States;MI;https://extolinc.com
;Fabric8Labs;Proprietary;;Other;Metal;1;Minimum;United States;CA;https://www.fabric8labs.com/
;Famaero;Proprietary;;PBF-EB;Metal;1;Actual;United states;MI;https://famaero.com
;Fargo 3D Printing;;;MEX;Polymer;1;Minimum;United states;ND;https://fargo3dprinting.com
;Farrar Corporation;Raise3D;Pro2;MEX;Polymer;1;Actual;United states;KS;https://farrarusa.com
;FasTech;Gefertec;Arc405;wDED-Arc;Metal;1;Actual;United states;VA;https://fastech-engineering.com
;FasTech;Gefertec;Arc605;wDED-Arc;Metal;1;Actual;United states;VA;https://fastech-engineering.com
;Fathom Digital Manufacturing;;;PBF-LB;Polymer;1;Minimum;United States;WI, AZ, CO, IL, IL. MN, NY, NY, TX;https://fathommfg.com
;Fathom Digital Manufacturing;Stratasys;Fortus 450mc;MEX;Polymer;1;Minimum;United States;WI, AZ, CO, IL, IL. MN, NY, NY, TX;https://fathommfg.com
;Fathom Digital Manufacturing;;;MJT;Polymer;1;Minimum;United States;WI, AZ, CO, IL, IL. MN, NY, NY, TX;https://fathommfg.com
;Fathom Digital Manufacturing;;;VPP;Polymer;1;Minimum;United States;WI, AZ, CO, IL, IL. MN, NY, NY, TX;https://fathommfg.com
;Fathom Digital Manufacturing;EOS;M280;PBF-LB;Metal;3;Minimum;United States;WI, AZ, CO, IL, IL. MN, NY, NY, TX;https://fathommfg.com
;Fathom Digital Manufacturing;EOS;M290;PBF-LB;Metal;1;Minimum;United States;WI, AZ, CO, IL, IL. MN, NY, NY, TX;https://fathommfg.com
;Fathom Digital Manufacturing;HP;;PBF-IR;Polymer;1;Minimum;United States;WI, AZ, CO, IL, IL. MN, NY, NY, TX;https://fathommfg.com
;Forerunner 3D Printing;HP;MJF 4200;PBF-IR;Polymer;1;Actual;United states;MI;https://Forerunner3d.com
;Forerunner 3D Printing;3D Systems;;VPP;Polymer;3;Actual;United states;MI;https://Forerunner3d.com
;Forerunner 3D Printing;Stratasys;J750;MJT;Polymer;1;Actual;United states;MI;https://Forerunner3d.com
;Forerunner 3D Printing;Stratasys;;MEX;Polymer;3;Actual;United states;MI;https://Forerunner3d.com
;Forerunner 3D Printing;EOS;P 770;PBF-LB;Polymer;2;Actual;United states;MI;https://Forerunner3d.com
;Forerunner 3D Printing;Formlabs;Form 2;VPP;Polymer;2;Actual;United states;MI;https://Forerunner3d.com
;Forge Labs;EOS;EOS P396;PBF-LB;Polymer;1;Minimum;Canada;BC;https://forgelabs.ca
;Forge Labs;EOS;EOS P110 Velocis;PBF-LB;Polymer;1;Minimum;Canada;BC;https://forgelabs.ca
;Forge Labs;3D Systems;ProX 800;VPP;Polymer;1;Minimum;Canada;BC;https://forgelabs.ca
;Forge Labs;3D Systems;ProX 950;VPP;Polymer;1;Minimum;Canada;BC;https://forgelabs.ca
;Forge Labs;HP;HP Jet Fusion 5200;PBF-IR;Polymer;1;Minimum;Canada;BC;https://forgelabs.ca
;Forge Labs;HP;HP Jet Fusion 4200;PBF-IR;Polymer;1;Minimum;Canada;BC;https://forgelabs.ca
;Forge Labs;Stratasys;Fortus 450;MEX;Polymer;1;Minimum;Canada;BC;https://forgelabs.ca
;Forge Labs;Stratasys;Fortus 900;MEX;Polymer;1;Minimum;Canada;BC;https://forgelabs.ca
;FreeFORM Technologies;;;BJT;Metal;1;Minimum;United States;PA;https://freeformtech.com
;FreeFORM Technologies;;;VPP;Polymer;1;Minimum;United States;PA;https://freeformtech.com
;FreeFORM Technologies;;;MEX;Metal;1;Minimum;United States;PA;https://freeformtech.com
;FreeFORM Technologies;;;MEX;Polymer;1;Minimum;United States;PA;https://freeformtech.com
;Gallagher Corporation;Carbon;;VPP;Polymer;1;Minimum;United States;IL;https://gallaghercorp.com
;Geofabrica;Photocentric;Liquid Crystal Magna;VPP;Polymer;1;Minimum;United States;MI;https://geofabrica.com
;Geofabrica;;;MEX;Polymer;2;Minimum;United States;MI;https://geofabrica.com
;Geofabrica;;;wDED-Arc;Metal;1;Minimum;United States;MI;https://geofabrica.com
;Geofabrica;;;PBF-LB;Metal;1;Minimum;United States;MI;https://geofabrica.com
;GoEngineer;;;MJT;Polymer;50;Minimum;United States;UT;https://goengineer.com
;GoEngineer;;;PBF-IR;Polymer;2;Minimum;United States;UT;https://goengineer.com
;GoEngineer;;;PBF-LB;Metal;1;Minimum;United States;UT;https://goengineer.com
;GZERO Additive;;;MEX;Polymer;4;Minimum;United States;OH;https://gzeroadditive.com
;Hawk Ridge Systems;HP;Jet Fusion 5200;PBF-IR;Polymer;1;Minimum;United States, Canada;CA, CA, WA, OR, ID, NJ, NJ, MA, MI, OH, FL, PA, AR, ON, AB, ;https://hawkridgesys.com
;Hawk Ridge Systems;Markforged;;MEX;;1;Minimum;United States, Canada;CA, CA, WA, OR, ID, NJ, NJ, MA, MI, OH, FL, PA, AR, ON, AB, ;https://hawkridgesys.com
;Hawk Ridge Systems;Markforged;;MEX;Polymer;1;Minimum;United States;CA;https://hawkridgesys.com
;Hawk Ridge Systems;HP;;PBF-IR;Polymer;1;Minimum;United States;CA;https://hawkridgesys.com
;Heres 3D;;;MEX;Polymer;1;Minimum;United states;TN;https://www.heres3d.llc
;Hollywood 3D Printing;;;MEX;Polymer;1;Minimum;United States;CA;https://hollywood3dprinting.com
;Hollywood 3D Printing;;;VPP;Polymer;1;Minimum;United States;CA;https://hollywood3dprinting.com
;Hollywood 3D Printing;;;PBF-LB;Polymer;1;Minimum;United States;CA;https://hollywood3dprinting.com
;Hotpop Factory;Stratasys;;MEX;Polymer;1;Minimum;Canada;ON;https://hotpopfactory.com
;Hotpop Factory;Stratasys;;PBF-LB;Polymer;1;Minimum;Canada;ON;https://hotpopfactory.com
;Hotpop Factory;Stratasys;;VPP;Polymer;1;Minimum;Canada;ON;https://hotpopfactory.com
;Hotpop Factory;Stratasys;;MJT;Polymer;1;Minimum;Canada;ON;https://hotpopfactory.com
;HRL Laboratories;;;PBF-LB;Metal;3;Minimum;United states;CA;https://hrl.com
;Humtown Products;;;BJT;Sand;12;Minimum;United States;OH;https://humtown.com
;i-SOLIDS;;;MEX;Polymer;112;Minimum;United States;TX;https://i-solids.com
;i-SOLIDS;;;VPP;Polymer;6;Minimum;United States;TX;https://i-solids.com
;i-SOLIDS;;;PBF-IR;Polymer;8;Minimum;United States;TX;https://i-solids.com
;i-SOLIDS;;;PBF-LB;Polymer;1;Minimum;United States;TX;https://i-solids.com
;i3D MFG;EOS;M280 / M290;PBF-LB;Metal;9;Actual;United States;OR;https://www.i3dmfg.com/about-i3dmfg/
;i3D MFG;EOS;M400-4;PBF-LB;Metal;2;Actual;United States;OR;https://www.i3dmfg.com/about-i3dmfg/
;i3D MFG;EOS;M300-4;PBF-LB;Metal;1;Actual;United States;OR;https://www.i3dmfg.com/about-i3dmfg/
;IC3D;;;MEX;Polymer;50;Minimum;United States;OH;https://ic3dprinters.com
;Incodema 3D;;;MEX;Polymer;3;Minimum;United States;NY;https://www.incodema3d.com/
;Incodema 3D;;;VPP;Polymer;2;Minimum;United States;NY;https://www.incodema3d.com/
;Incodema 3D;;;PBF-LB;Metal;23;Minimum;United States;NY;https://www.incodema3d.com/
;InstaVoxel;;;PBF-LB;Metal;1;Minimum;United states;MA;https://instavoxel.com
;InstaVoxel;HP;;PBF-IR;Polymer;1;Minimum;United states;MA;https://instavoxel.com
;InstaVoxel;;;VPP;Polymer;1;Minimum;United states;MA;https://instavoxel.com
;InstaVoxel;;;PBF-LB;Polymer;1;Minimum;United states;MA;https://instavoxel.com
;Jabil Additive;HP;;PBF-IR;Polymer;1;Minimum;United States;FL;https://jabil.com
;Jabil Additive;EOS;P396;PBF-LB;Polymer;1;Minimum;United States;FL;https://jabil.com
;Jabil Additive;EOS;Integra P44;PBF-LB;Polymer;1;Minimum;United States;FL;https://jabil.com
;Jabil Additive;Farsoon;HT1001P;PBF-LB;Polymer;1;Minimum;United States;FL;https://jabil.com
;Jabil Additive;Stratasys;F450;MEX;Polymer;1;Minimum;United States;FL;https://jabil.com
;Jabil Additive;Stratasys;F900;MEX;Polymer;1;Minimum;United States;FL;https://jabil.com
;Javelin Technologies, A TriMech Company;;;PBF-LB;Polymer;1;Minimum;Canada;ON;https://javelin-tech.com/3d/industry/aerospace
;Javelin Technologies, A TriMech Company;;;VPP;Polymer;1;Minimum;Canada;ON;https://javelin-tech.com/3d/industry/aerospace
;Javelin Technologies, A TriMech Company;;;MEX;Polymer;1;Minimum;Canada;ON;https://javelin-tech.com/3d/industry/aerospace
;Javelin Technologies, A TriMech Company;;;MJT;Polymer;1;Minimum;Canada;ON;https://javelin-tech.com/3d/industry/aerospace
;Javelin Technologies, A TriMech Company;;;PBF-LB;Metal;1;Minimum;Canada;ON;https://javelin-tech.com/3d/industry/aerospace
;Javelin Technologies, A TriMech Company;;;PBF-IR;Polymer;1;Minimum;Canada;ON;https://javelin-tech.com/3d/industry/aerospace
;Jawstec;HP;;PBF-IR;Polymer;1;Minimum;United States;ID;https://jawstec.com
;Jawstec;;;VPP;Polymer;1;Minimum;United States;ID;https://jawstec.com
;Jawstec;;;PBF-LB;Polymer;1;Minimum;United States;ID;https://jawstec.com
;Jawstec;;;PBF-LB;Metal;1;Minimum;United States;ID;https://jawstec.com
;Jinxbot 3D Printing Services;Creality;K1;MEX;Polymer;1;Minimum;United states;CA;https://jinxbot.com
;Jinxbot 3D Printing Services;Creality;K1 Max;MEX;Polymer;1;Minimum;United states;CA;https://jinxbot.com
;Jinxbot 3D Printing Services;Creality;CR10S-Pro;MEX;Polymer;1;Minimum;United states;CA;https://jinxbot.com
;Jinxbot 3D Printing Services;Creality;CR10 S5;MEX;Polymer;1;Minimum;United states;CA;https://jinxbot.com
;Jinxbot 3D Printing Services;Creality;CR30;MEX;Polymer;1;Minimum;United states;CA;https://jinxbot.com
;Jinxbot 3D Printing Services;Formlabs;Form 3;VPP;Polymer;1;Minimum;United states;CA;https://jinxbot.com
;Jinxbot 3D Printing Services;Formlabs;Fuse 1;PBF-LB;Polymer;1;Minimum;United states;CA;https://jinxbot.com
;Kaiser Aluminum;;;PBF-LB;Metal;3;Minimum;United States;NJ;https://www.kaiseraluminum.com/
;KAM (Keselowski Advanced Manufacturing);Colibrium Additive;M2;PBF-LB;Metal;1;Actual;United States;NC;https://kamsolutions.com
;KAM (Keselowski Advanced Manufacturing);EOS;M280;PBF-LB;Metal;10;Actual;United States;NC;https://kamsolutions.com
;KAM (Keselowski Advanced Manufacturing);EOS;M400-4;PBF-LB;Metal;5;Actual;United States;NC;https://kamsolutions.com
;KAM (Keselowski Advanced Manufacturing);EOS;M290;PBF-LB;Metal;1;Actual;United States;NC;https://kamsolutions.com
;KAM (Keselowski Advanced Manufacturing);Nikon SLM;280HL Twin;PBF-LB;Metal;3;Actual;United States;NC;https://kamsolutions.com
;KAM (Keselowski Advanced Manufacturing);Velo3D;Sapphire XC;PBF-LB;Metal;1;Actual;United States;NC;https://kamsolutions.com
;KARV Automation;;;MEX;Polymer;1;Minimum;United States;TX;https://karvautomation.com
;KARV Automation;;;MJT;Polymer;1;Minimum;United States;TX;https://karvautomation.com
;KARV Automation;;;PBF-LB;Metal;1;Minimum;United States;TX;https://karvautomation.com
;KARV Automation;;;VPP;Polymer;1;Minimum;United States;TX;https://karvautomation.com
;KARV Automation;;;PBF-LB;Polymer;1;Minimum;United States;TX;https://karvautomation.com
;LGM 3D;;;BJT;;4;Minimum;United States;CO;https://lgm3d.com
;LGM 3D;;;VPP;Polymer;1;Minimum;United States;CO;https://lgm3d.com
;Lincoln laser solutions;In-house;;pDED-LB;Metal;5;Minimum;Canada;ON;https://www.burloaktech.com/
;Makelab;;;MEX;Polymer;24;Minimum;United States;NY, CA;https://makelab.nyc
;Makelab;;;VPP;Polymer;12;Minimum;United States;NY, CA;https://makelab.nyc
;Makelab;;;PBF-IR;Polymer;2;Minimum;United States;NY, CA;https://makelab.nyc
;Makelab;;;;Polymer;1;Minimum;United States;NY, CA;https://makelab.nyc
;Materialise NV;;;BJT;;4;Minimum;United States;MI;https://materialise.com
;MatterThings Inc.;Sintratec;;PBF-LB;Polymer;1;Minimum;Canada;QC;https://matterthings.com
;MatterThings Inc.;;;MEX;Polymer;1;Minimum;Canada;QC;https://matterthings.com
;MatterThings Inc.;;;MJT;Polymer;1;Minimum;Canada;QC;https://matterthings.com
;MatterThings Inc.;;;VPP;Polymer;1;Minimum;Canada;QC;https://matterthings.com
;Met-L-Flo;;;MJT;Polymer;1;Minimum;United States;IL;https://metlflo.com
;Met-L-Flo;;;PBF-LB;Polymer;1;Minimum;United States;IL;https://metlflo.com
;Met-L-Flo;;;VPP;Polymer;5;Minimum;United States;IL;https://metlflo.com
;Met-L-Flo;;;BJT;;1;Minimum;United States;IL;https://metlflo.com
;Met-L-Flo;;;MEX;Polymer;4;Minimum;United States;IL;https://metlflo.com
;MIMO Technik;Nikon SLM;SLM 500 Quad;PBF-LB;Metal;6;Actual;United States;CA;https://mimotechnik.com
;MIMO Technik;Nikon SLM;SLM 280 Twin;PBF-LB;Metal;4;Actual;United States;CA;https://mimotechnik.com
;MIMO Technik;Nikon SLM;SLM 125 HL SMT 700w;PBF-LB;Metal;3;Actual;United States;CA;https://mimotechnik.com
;Moog;;;PBF-LB;Metal;5;Minimum;United States;NY;https://moog.com
;MTek3D;;;VPP;Polymer;1;Minimum;United States;TN;https://mtek3d.com
;MTek3D;;;MJT;Polymer;1;Minimum;United States;TN;https://mtek3d.com
;Northwest Rapid Manufacturing;EOS;P390;PBF-LB;Polymer;1;Actual;United States;OR;https://nwrapidmfg.com
;Northwest Rapid Manufacturing;EOS;P730;PBF-LB;Polymer;1;Actual;United States;OR;https://nwrapidmfg.com
;Northwest Rapid Manufacturing;EOS;P760;PBF-LB;Polymer;1;Actual;United States;OR;https://nwrapidmfg.com
;Nota3D;3D Systems;DMP Flex 200;PBF-LB;Metal;1;Minimum;United States;WI;https://nota3d.com
;Nota3D;3D Systems;;VPP;;1;Minimum;United States;WI;https://nota3d.com
;Nota3D;3D Systems;;PBF-LB;Polymer;1;Minimum;United States;WI;https://nota3d.com
;Nota3D;Markforged;;MEX;;1;Minimum;United States;WI;https://nota3d.com
;Nota3D;3D Systems;;MJT;;1;Minimum;United States;WI;https://nota3d.com
